Tanggal,USN,Komen
15/3/2026,J0YCELLINE,"Lucuk banget. Pkh dari anggaran, dari pajak, dari pendapatan negara, bpjs dari iuran pribadi (kecuali pbi emang dari negara tapi kan balik lagi dapet dari pajak lagi pendapatan lagi), duit rakyat lagi kan ujung2nya mah"
15/3/2026,Ndryeee,"Hal ini masih banyak banget yang nggak paham. Kalo saya yang nggak paham justru standar pemerintah ngebagi Golongan DENSIL sumbernya dari mana? Dicabut BPJS PBI dr mana? Tidak layak PKH, tidak layak keluarga Harapan, standarnya dari mana? Ini yang saya tidak paham malahan. 😁😁 "
15/3/2026,"capekgsie",kenapa gak dibantu urus gitu kah BPJSnya? atau krn BPJS PBI? tapi PBI bukannya udh dinonaktifin ya akunnya sm pemerintah😌.. kalo PBPU kan bisa dibantu pindahin faskesnya aja gasi..
15/3/2026,ganjaransejati,1. Pengurangan penerima PBI BPJS Kesehatan. 2. Pembatasan masuk perguruan tinggi negeri. 3. Pengurangan penerima beasiswa. 4. Pengurangan tunjangan sertifikasi pendidik. Semoga hal tsb di atas bukan untuk mendanai MBG.
15/3/2026,"tuan_kepiting",Ntr anak nya sakit juga ngeluh. Gegera BPJS nya kelas 3 PBI. Hehe
15/3/2026,aranigr,"lah, selama dia bayar premi ya sah-sah aja dia pake BPJS kelas 3. Yang ngeri itu kalo dia mampu berobat keluar negeri, tapi BPJS-nya PBI. Itu baru ga boleh. Kalo dia bayar preminya sendiri ya itu mah hak dia."
15/3/2026,mimoenthusiasm,Aku yg always ngerubah keluhan pasien dan naikin triage nya biar bpjs nya bisa diklaim 😔✋🏻 Tp emang tergantung regulasi jg Kl bpjs nya PBI sumpah susah banget ngurusnya kl udh masalah domisili tu 🙂🙂🙂🙂 
15/3/2026,sefahaha_,"Mjb, aku PBI PerDa Jakarta tp bisa berobat di luar pulau. Ada syaratnya, BPJS di Jakarta minta surat Keterangan Mahasiswa Aktif dari kampus, stelah diserahkan ke BPJS, nanti status faskes I di JKN ganti jadi faskes terdekat dari kampus."
15/3/2026,aripinkturtle,Gak semua BPJS kelas 3 itu PBI ada jg yg Mandiri
15/3/2026,Utha_san,Untuk keluarganya plis klo gak sanggup bayar bpjs buat masukin rsj bisa minta rt rw untuk sktm buat urus pbi. Gak bisa juga? Bisa dipassung atau di kerangkeng dirumah
16/3/2026,afathngantuk,"Luar negeri gak sembuh, balik dalam negeri minta bpjs PBI banyak banget, cuma kan malu buat cerita"
16/3/2026,DemiNamaObul,"karena bpjs pbi sekarang kalo ga dipake2 bisa nonaktif, mbg hadir sebagai solusi. jadi reply di ss itu valid"
16/3/2026,nofeember_,Kucing sakit biaya nya ngelebihin manusia. Babu nya mah pake BPJS PBI 😭😭
16/3/2026,Arrazzi9,"Yg ngasih testi orang kaya, yang ngomel2 pengguna bpjs pbi wkwkwkwk. Sistim asuransi indonesia itu salah satu yg terbaik di dunia dengan ples minesnya"
17/3/2026,lina061213,Iya untuk disabilitas juga juga yah biasa dapat banyak yang sdh tidak dapat lagi sejak prabowo jadi presiden belum lagi teman teman yang biasa dapat PBI BPJS nya kini mereka harus bayar bulan bulum lagi kita kita guru swasta dah ga bisa omong apa apa ttg kebijakan pemerintah
17/3/2026,tukangstickers,"Kalo bpjs Pbi memang gratis dibayarin pemerintah, kalo mandiri tetap bayar iuran kak, jadi dibilang gratis enggak juga, disubsidi iya kalo mandiri.."
17/3/2026,yesmar_banu,Anggaran pembayaran PBI BPJS juga jgn dipotong ya pak. Kemarin aja rame tiba2 anggaran dipangkas
17/3/2026,takoyakibegel,"ART di rumahku PP, dateng jam 8 pulang jam 4 sore. Jobdesk nya, bebersih seluruh rumah, cuci gosok & siram tanaman. Gaji 5.52jt sesuai UMP Depok. BPJS kesehatan gak kubayaran soalnya dia pakai BPJS PBI. Buat ku itu cukup layak walau kadang ngerasa gak enakan akunya."
17/3/2026,aiigoooooooo,"Gak dibedain tapi kalau lu abis duit ke luar negeri balik indo pelit cuma mau bayar iuran kelas 3 atau PBI, atau lu bawa mobil mentereng ke RS tapi pake BPJS kelas 3 atau PBI lagi, boleh dong elo kami nyinyirin."
18/3/2026,alex_62812,"Paling bener stop programnya, dan hanya fokuskan ke daerah 3T dan rentan gizi buruk. Bisa hemat ratusan triliun, sisa anggaran pendidikan tersebut alihkan langsung ke Kemendikdasmen dan Kemendiktisaintek. Sisa anggaran kesehatan yang dipakai buat penguatan BPJS PBI 🙏"
18/3/2026,RebornUia,Justru itu yg d sikat krn adanya MBG sm KDMP wkwkwk. Brp bnyk paserta PBI yg d coret? Ada kasus RS menolak cuci darah krn PBI d cabut pdhl udh d jdwlkan bln sblmnya dg BPJS. Dana bos bs utk ATK murid krng mampu shingga bs mncegah anak SD bnh dri krn tdk mampu membeli alat gambar
18/3/2026,jawir69,"Duuh mbak. Jangan dulu laah....Trauma BPJS PBI yg di CutOff oleh KemensosRI aja blom hilang dari ingatan, Lagian mereka Kriminal karena Perbuatannya, gak pantas ditanggung Negara BPJS nya"
18/3/2026,giIangmahesa,"Sampai bulan ini, Proyek MBG sdh menghabiskan 44 T APBN, setara : 254.335 unit rumah subsidi baru, 1,46 juta unit Huntara Sumatera, 87.301.587 jiwa tercover PBI BPJS, 1.047.619 guru digaji cukup layak selama 1 thn, 24 jt penduduk miskin mendapatkan sembako per 2 bln selama setahun."
18/3/2026,Bravo_munte,"Anak² bisa makan siang 8-10 ribu, tapi ketika sakit, tidak bisa berobat karena bpjs PBI dicabut."
19/3/2026,PDI_Perjuangan,"Penonaktifan BPJS Kesehatan bagi peserta Penerima Bantuan Iuran (PBI) berdampak pada hilangnya akses layanan kesehatan, terutama bagi masyarakat kurang mampu yang terpaksa gagal berobat bahkan hingga ditolak oleh rumah sakit. Hadirnya Kapal Rumah Sakit Apung Laksamana Malahayati milik DPP PDI Perjuangan di Pelabuhan Kalibodri Kendal, memberi secercah harapan bagi masyarakat khususnya di wilayah pesisir Kendal. Dengan kolaborasi 3 pilar PDI Perjuangan yaitu, DPC PDI Perjuangan Kabupaten Kendal, Anggota Fraksi PDI Perjuangan DPR RI Mochammad Herviano, Bupati Kendal Dyah Kartika Permanasari, serta Fraksi PDI Perjuangan kendal bersama tim kesehatan RSA Laksamana Malahayati. Dalam kegiatan bakti sosial dan pengobatan gratis ini Tim Kesehatan RSA Laksamana Malahayati telah melayani pasien sedikitnya 350 orang perhari, selama dua hari. Tak hanya itu bagi pasien yang telah selesai berobat juga diberi bingkisan berupa sembako."
20/3/2026,dibaliktembokrs,"That ""layanan kesehatan gratis"". Pdhl udah ada bpjs tinggal urus bpjs pbi. Masyarakat mau dilenakan dengan kata² ""gratis"". Giliran udah naek daun, nakes & named ditekan².  Lagu lama emang. Makanya pada males milih ya gara² begini 🫢"
20/3/2026,BPJSKesehatanRI,Peserta PBI JK sesuai dengan DTSEN (Data Tunggal Sosial Ekonomi Nasional) yang telah ditentukan oleh Pemerintah Pusat sesuai SK Kementerian Sosial.Terima kasih. :) -starla (3/3)
20/3/2026,tartapplesauce,kalo PBI BPJS aja bisa disetop sehari-semalam mestinya anggaran MBG juga bisa langsung berhenti
20/3/2026,Widyawa64704930,"Klo miskin ada bpjs pbi, yg repot justru yg setengah miskin sih krn gak dicover jaring pengaman sosial apa2. Ingat standar miskin bps yg gak ngotak itu ya, yg seandainya karyawan bps hrs menjalàni hidup dgn kriteria tsb jg gak akan sanggup !!"
