Tanggal,USN,Komen
09/04/2026,@syuluslune,"banyak yg harus ditanggung, jam kerja gk sesuai sm gaji, trs pas sakit juga susah karena mahal, pake bpjs juga dipersulit, miris bgt ya 😭"
09/04/2026,@LBHMasyarakat ,[Penonaktifan Status BPJS Kesehatan PBI: Jalan (Makin) Terjal Pemenuhan Hak atas Kesehatan bagi ODTB]
09/04/2026,@LBHMasyarakat ,Penonaktifan jutaan BPJS Kesehatan (@BPJSKesehatanRI  ) PBI bikin banyak orang baru sadar statusnya hilang saat berobat — termasuk ODTB yang wajib kontrol rutin.
09/04/2026,@LBHMasyarakat ,"Di tengah momen Hari Tuberkulosis Sedunia 2026, kejadian ini justru memperlihatkan betapa rapuhnya akses layanan kesehatan dasar di Indonesia"
09/04/2026,@NakesPuskesmas,"Bayangkan untuk sekedar menjamin penderita TB berobat rutin, bahkan kalau negara mau membayarkan seluruh BPJS Kesehatan Kelas III (Rp 25.500/bulan) untuk menjamin hak terhadap akses kesehatan kepada seluruh penduduk Indonesia yang saat ini berjumlah 287 juta jiwa selama setahun penuh, maka pemerintah hanya perlu menyiapkan anggaran sebesar Rp 87,8 T, atau hanya setara anggaran MBG selama 2,5 bulan."
09/04/2026,@rashifakilla,Abis cerita2 sama temen di kantor lama yg bantuin cowonya ngurusin BPJS sama apply kerjaan buat si cowo krn abis kena layoff. Gila anjir perusahaan2 skrg mana sih yg gak redflag?!
09/04/2026,@ardhiu1,"Temen gw yang magang di RS cerita. Ada dokter bedah yang terpaksa potong gajinya, gara-gara anggaran BPJS ga bisa nutup buat operasi tertentu. "
09/04/2026,@ntsyhwng,Anjim bgt rasanya gw kerja bertahun2 kaga pernah cover BPJS apapun.. Mana under UMR
09/04/2026,@changumss,"Mana aturan bpjs yg suka berubah-ubah. Pernah gagal klaim gara2 diagnosanya KPD (ketuban pecah dini) karena dianggap bukan kasus gawatdarurat, padahal bulan sebelumnya jg masih bisa lolos klaim masa tbtb gak lolos kan aneh."
09/04/2026,@srftitriani,"Sangat menyesali betapa naif nya gue dulu yang gak mengedukasi diri terkait hal ini, yang berujung 4 tahun kerja BPJS Ketenagakerjaan cuma 10jt lebih dikit HAHA. Mana slip gaji sama sama realita nya beda lagi. Padahal kerjanya di NGO yg ngaku2 aktivis."
09/04/2026,@smilingrainp,kenapa sih ke rs tu mahal😭yatau bisa pake bpjs tapi ribet soalnya ada banyak hal yg pengen aku konsultasi
09/04/2026,@indra_kencana ,"Kanker lidah+ merokok+lagi pas kemo Damn, jangan bilang ini bpjs pbi Buang2 anggaran"
09/04/2026,@pras18ter,Bapak sadar ga pemilih bapak udah nyesel pilih gegara ekonomi mandek bahkan tambah parah dan BPJS kesehatan mereka dicabut subsidi nya?
09/04/2026,@BPJSKesehatanRI,"Salam. Silakan bisa pilih menu ""Pengaktifan Kembali Status Kepesertaan"" lalu ""Pindah Jenis Peserta Non Aktif Menjadi PBPU/Mandiri"". Terima kasih. :) -oscar"
09/04/2026,@ayluvmii,BPJS sinting
09/04/2026,@win2wayv,weh parah banget ternyata bener pasien bpjs di skip ges
09/04/2026,@BPJSKesehatanRI,"Sekarang bayar iuran BPJS Kesehatan makin gampang banget. Tinggal aktifin Auto Debit, iuran langsung terbayar otomatis tiap bulan."
