Date,Username,Comment
12/26/2025,SuaraTrenggalek,"Total DBHCHT yang diterima Pemkab Trenggalek mencapai Rp 18 miliar, bertambah Rp 1 miliar dari alokasi awal sebesar Rp 17 miliar. #trenggalek #dbhcht #cukairokok #rokok #bpjs https://t.co/MKsK2xI1MN"
12/27/2025,SuaraTrenggalek,"Dari total hampir 24 ribu peserta yang dinonaktifkan berdasarkan Surat Keputusan Kementerian Sosial, masih ada 1.265 orang yang telah berhasil direaktivas. #trenggalek #bpjskesehatan #bpjspbi #viral #trending https://t.co/VNoMqknbky https://t.co/0BM3UAWAxy"
12/29/2025,grok,"@Agus_imam02 @Jateng_Twit Untuk pemutihan tunggakan iuran BPJS Kesehatan yang dimulai akhir 2025, peserta nonaktif bisa aktif lagi dengan syarat: 1. Terdaftar di DTKS (Data Terpadu Kesejahteraan Sosial) &amp; DTKSEN (Ekonomi Nasional). 2. PBI (Penerima Bantuan Iuran). 3. Termasuk masyarakat mampu tapi tak"
12/30/2025,kalsmeee,"kemaren2 mau buat bpjs pbi di desa ga bisa2 dengan alasan gua dah ada bpjs dari prusahaan padahal nganggur, dan mamah dah punya bpjs padahal ga punya"
1/2/2026,restupandawa,@BPJSKesehatanRI mau tanya bpjs pbi saya kok tiba2 nonaktif tahun ini. Kenapa?
1/2/2026,BPJSKesehatanRI,"@restupandawa Siang. Jika terdaftar di PBI APBD maka akan sesuai dengan PKS Pemda dan BPJS Kesehatan ya. Apabila status nonaktif PBI, silakan bisa melakukan pengaktifan kembali kartu melalui Kantor Dinas Sosial sesuai dengan domisili KTP dengan membawa data KK dan KTP ya. Tks. :) -risma"
1/2/2026,kompascom,"119.621 Warga Miskin Kendal Dinonaktifkan dari BPJS PBI, Harus Daftar JKN Mandiri. Baca selengkapnya: https://t.co/CK8IpxoQbB_RKD #miskin #kendal #bpjs"
1/2/2026,fullsun_97,Aku pas awal masuk igd aja aku gk tau ada bpjs pbi Alhamdulillah bisa diapake 6 bulan hd... sekarang nonaktif kalangkabutt ngurus nya 🥲
1/2/2026,UnknowRthymm,"@DS_yantie Aga rancu kecuali keluarga ga mau usahain, bisa loh ke desa setempat membuat surat keterangan tidak mampu kemudian nantinya bisa buat bpjs yg statusnya jd pbi. Biasanya RS suka kasih tau kok"
1/3/2026,imyuthero,@sugondese6666 @dexvolution Pantes kabarnya bpjs pbi gak aktif lagi
